月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,76,67,107,82,130,98,94,108,101,90,112,115
中壢區,63,63,101,94,108,98,81,96,83,92,77,78
大溪區,13,15,17,19,30,19,13,18,17,28,17,19
楊梅區,30,26,36,42,48,33,35,50,35,47,40,46
蘆竹區,31,23,44,26,34,44,30,35,35,28,41,45
大園區,10,11,21,21,20,19,19,21,11,21,13,16
龜山區,21,21,44,30,35,41,48,31,29,29,34,30
八德區,44,37,57,41,57,36,48,50,49,60,47,49
龍潭區,16,11,38,23,32,25,24,43,31,20,30,24
平鎮區,47,34,54,36,54,53,34,44,45,58,43,53
新屋區,7,7,7,3,6,8,16,4,9,11,8,7
觀音區,12,8,14,14,15,12,11,16,11,8,16,15
復興區,3,1,4,2,1,6,3,3,7,2,4,5
